"","PassengerID","Survived"
"806",806,0
"807",807,0
"809",809,0
"811",811,0
"812",812,0
"813",813,0
"815",815,0
"816",816,0
"818",818,0
"819",819,0
"820",820,0
"822",822,0
"823",823,0
"825",825,0
"826",826,0
"827",827,0
"828",828,1
"829",829,0
"832",832,1
"833",833,0
"834",834,0
"835",835,0
"837",837,0
"838",838,0
"839",839,1
"840",840,0
"841",841,0
"842",842,0
"844",844,0
"845",845,0
"846",846,0
"847",847,0
"848",848,0
"849",849,0
"851",851,0
"852",852,0
"858",858,0
"860",860,0
"861",861,0
"862",862,0
"865",865,0
"868",868,0
"869",869,0
"870",870,1
"871",871,0
"873",873,0
"874",874,0
"877",877,0
"878",878,0
"879",879,0
"882",882,0
"884",884,0
"885",885,0
"887",887,0
"890",890,1
"891",891,0
"892",892,0
"894",894,0
"895",895,0
"897",897,0
"899",899,0
"901",901,0
"902",902,0
"903",903,0
"905",905,0
"908",908,0
"909",909,0
"912",912,0
"913",913,1
"915",915,0
"917",917,0
"919",919,0
"920",920,0
"921",921,0
"922",922,0
"923",923,0
"926",926,0
"927",927,0
"930",930,0
"931",931,0
"932",932,0
"933",933,0
"934",934,0
"937",937,0
"938",938,0
"939",939,0
"942",942,0
"943",943,0
"946",946,0
"947",947,0
"948",948,0
"949",949,0
"950",950,0
"952",952,0
"953",953,0
"954",954,0
"956",956,1
"959",959,0
"960",960,0
"963",963,0
"965",965,0
"967",967,0
"968",968,0
"970",970,0
"972",972,1
"973",973,0
"974",974,0
"975",975,0
"976",976,0
"977",977,0
"981",981,1
"983",983,0
"985",985,0
"986",986,0
"987",987,0
"989",989,0
"991",991,0
"993",993,0
"994",994,0
"995",995,0
"997",997,0
"998",998,0
"999",999,0
"1000",1000,0
"1001",1001,0
"1002",1002,0
"1007",1007,0
"1008",1008,0
"1010",1010,0
"1013",1013,0
"1015",1015,0
"1016",1016,0
"1018",1018,0
"1020",1020,0
"1021",1021,0
"1022",1022,0
"1023",1023,0
"1025",1025,0
"1026",1026,0
"1027",1027,0
"1028",1028,0
"1029",1029,0
"1031",1031,0
"1034",1034,0
"1035",1035,0
"1036",1036,1
"1037",1037,0
"1038",1038,0
"1039",1039,0
"1040",1040,0
"1041",1041,0
"1043",1043,0
"1044",1044,0
"1046",1046,0
"1047",1047,0
"1050",1050,1
"1053",1053,1
"1055",1055,0
"1056",1056,0
"1058",1058,0
"1059",1059,0
"1062",1062,0
"1063",1063,0
"1064",1064,0
"1065",1065,0
"1066",1066,0
"1069",1069,0
"1072",1072,0
"1073",1073,0
"1075",1075,0
"1077",1077,0
"1079",1079,0
"1081",1081,0
"1082",1082,0
"1083",1083,0
"1084",1084,0
"1085",1085,0
"1086",1086,1
"1087",1087,0
"1088",1088,1
"1090",1090,0
"1093",1093,1
"1094",1094,0
"1096",1096,0
"1097",1097,0
"1099",1099,0
"1101",1101,0
"1102",1102,0
"1103",1103,0
"1104",1104,0
"1107",1107,0
"1109",1109,0
"1111",1111,0
"1113",1113,0
"1115",1115,0
"1118",1118,0
"1120",1120,0
"1121",1121,0
"1122",1122,0
"1124",1124,0
"1125",1125,0
"1126",1126,0
"1127",1127,0
"1128",1128,0
"1129",1129,0
"1134",1134,0
"1135",1135,0
"1136",1136,0
"1137",1137,0
"1139",1139,0
"1143",1143,0
"1144",1144,0
"1145",1145,0
"1146",1146,0
"1147",1147,0
"1148",1148,0
"1149",1149,0
"1151",1151,0
"1152",1152,0
"1153",1153,0
"1156",1156,0
"1157",1157,0
"1158",1158,0
"1159",1159,0
"1161",1161,0
"1162",1162,0
"1163",1163,0
"1166",1166,0
"1168",1168,0
"1169",1169,0
"1170",1170,0
"1171",1171,0
"1173",1173,1
"1177",1177,0
"1178",1178,0
"1179",1179,0
"1180",1180,0
"1181",1181,0
"1182",1182,0
"1184",1184,0
"1185",1185,0
"1186",1186,0
"1187",1187,0
"1189",1189,0
"1190",1190,0
"1191",1191,0
"1192",1192,0
"1193",1193,0
"1194",1194,0
"1195",1195,0
"1198",1198,0
"1199",1199,1
"1200",1200,0
"1202",1202,0
"1203",1203,0
"1204",1204,0
"1208",1208,0
"1209",1209,0
"1210",1210,0
"1211",1211,0
"1212",1212,0
"1213",1213,0
"1214",1214,0
"1215",1215,1
"1217",1217,0
"1219",1219,0
"1220",1220,0
"1221",1221,0
"1223",1223,0
"1224",1224,0
"1226",1226,0
"1227",1227,0
"1228",1228,0
"1229",1229,0
"1230",1230,0
"1231",1231,0
"1232",1232,0
"1233",1233,0
"1234",1234,0
"1236",1236,0
"1238",1238,0
"1240",1240,0
"1243",1243,0
"1244",1244,0
"1245",1245,0
"1247",1247,0
"1249",1249,0
"1250",1250,0
"1252",1252,0
"1255",1255,0
"1258",1258,0
"1261",1261,0
"1262",1262,0
"1264",1264,0
"1265",1265,0
"1269",1269,0
"1270",1270,0
"1271",1271,0
"1272",1272,0
"1273",1273,0
"1276",1276,0
"1278",1278,0
"1279",1279,0
"1280",1280,0
"1281",1281,0
"1282",1282,0
"1284",1284,0
"1285",1285,0
"1286",1286,0
"1288",1288,0
"1290",1290,0
"1291",1291,0
"1293",1293,0
"1295",1295,0
"1296",1296,0
"1297",1297,0
"1298",1298,0
"1299",1299,0
"1305",1305,0
"1307",1307,0
"1308",1308,0
"1309",1309,0
