"","x"
"280","1"
"281","0"
"282","0"
"283","0"
"284","0"
"285",NA
"286","0"
"287","0"
"288","0"
"289","0"
"290","1"
"291","1"
"292","1"
"293","0"
"294","1"
"295","0"
"296",NA
"297","0"
"298","0"
"299",NA
"300","1"
"301",NA
"302",NA
"303","0"
"304",NA
"305",NA
"306","1"
"307",NA
"308","1"
"309","0"
"310","1"
"311","1"
"312","1"
"313","1"
"314","0"
"315","0"
"316","1"
"317","1"
"318","0"
"319","1"
"320","1"
"321","0"
"322","0"
"323","1"
"324","1"
"325",NA
"326","1"
"327","0"
"328","1"
"329","0"
"330","1"
"331",NA
"332","0"
"333","0"
"334","0"
"335",NA
"336",NA
"337","0"
"338","1"
"339","0"
"340","0"
"341","1"
"342","1"
"343","0"
"344","0"
"345","0"
"346","1"
"347","1"
"348",NA
"349","1"
"350","0"
"351","0"
"352",NA
"353","0"
"354","0"
"355",NA
"356","0"
"357","1"
"358","1"
"359",NA
"360",NA
"361","0"
"362","0"
"363","0"
"364","0"
"365",NA
"366","0"
"367","1"
"368",NA
"369",NA
"370","1"
"371","0"
"372","0"
"373","0"
"374","0"
"375","0"
"376",NA
"377","1"
"378","0"
"379","0"
"380","0"
"381","1"
"382","1"
"383","0"
"384","1"
"385",NA
"386","0"
"387","0"
"388","1"
"389",NA
"390","1"
"391","1"
"392","0"
"393","0"
"394","1"
"395","1"
"396","0"
"397","1"
"398","0"
"399","0"
"400","1"
"401","0"
"402","0"
"403","0"
"404","0"
"405","1"
"406","0"
"407","0"
"408","1"
"409","0"
"410",NA
"411",NA
"412",NA
"413","1"
"414",NA
"415","0"
"416",NA
"417","1"
"418","1"
"419","0"
"420","1"
"421",NA
"422","0"
"423","0"
"424","0"
"425","0"
"426",NA
"427","1"
"428","1"
"429",NA
"430","0"
"431","0"
"432",NA
"433","1"
"434","0"
"435","0"
"436","1"
"437","0"
"438","1"
"439","0"
"440","0"
"441","1"
"442","0"
"443","0"
"444","1"
"445",NA
"446","1"
"447","1"
"448","0"
"449","1"
"450","0"
"451","0"
"452",NA
"453","0"
"454","0"
"455",NA
"456","0"
"457","0"
"458",NA
"459","1"
"460",NA
"461","0"
"462","0"
"463","0"
"464","0"
"465",NA
"466","0"
"467",NA
"468","0"
"469",NA
"470","1"
"471",NA
"472","0"
"473","1"
"474","1"
"475","1"
"476",NA
"477","0"
"478","0"
"479","0"
"480","1"
"481","0"
"482",NA
"483","0"
"484","1"
"485","0"
"486",NA
"487","1"
"488","0"
"489","0"
"490","1"
"491",NA
"492","0"
"493","0"
"494","0"
"495","0"
"496",NA
"497","1"
"498",NA
"499","1"
"500","0"
"501","0"
"502","1"
"503",NA
"504","1"
"505","1"
"506","0"
"507","1"
"508",NA
"509","0"
"510","0"
"511","0"
"512",NA
"513","0"
"514","1"
"515","0"
"516","0"
"517","1"
"518",NA
"519","1"
"520","0"
"521","1"
"522","0"
"523",NA
"524","1"
"525",NA
"526","0"
"527","1"
"528",NA
"529","0"
"530","0"
"531","1"
"532",NA
"533","0"
"534",NA
"535","1"
"536","1"
"537","0"
"538","1"
"539",NA
"540","1"
"541","1"
"542","0"
"543","0"
"544","0"
"545","0"
"546","0"
"547","1"
"548",NA
"549","0"
"550","1"
"551","1"
"552","0"
"553",NA
"554","0"
"555","1"
"556","0"
"557","1"
"558",NA
"559","1"
"560","1"
"561",NA
"562","0"
"563","0"
"564",NA
"565",NA
"566","0"
"567","0"
"568","0"
"569",NA
"570","0"
"571","0"
"572","1"
"573","0"
"574",NA
"575","0"
"576","0"
"577","1"
"578","1"
"579",NA
"580","0"
"581","1"
"582","1"
"583","0"
"584","0"
"585",NA
"586","1"
"587","0"
"588","0"
"589","0"
"590",NA
"591","0"
"592","1"
"593","0"
"594",NA
"595","0"
"596","0"
"597",NA
"598","0"
"599",NA
"600","0"
"601","1"
"602",NA
"603",NA
"604","0"
"605","0"
"606","0"
"607","0"
"608","0"
"609","1"
"610","1"
"611","0"
"612",NA
"613",NA
"614",NA
"615","0"
"616","1"
"617","0"
"618","1"
"619","1"
"620","0"
"621","0"
"622","0"
"623","0"
"624","0"
"625","0"
"626","0"
"627","0"
"628","1"
"629","0"
"630",NA
"631","0"
"632","0"
"633","0"
"634",NA
"635","0"
"636","1"
"637","0"
"638","0"
"639","0"
"640",NA
"641","0"
"642","1"
"643","0"
"644",NA
"645","1"
"646","0"
"647","0"
"648","0"
"649",NA
"650","1"
"651",NA
"652","1"
"653","0"
"654",NA
"655","1"
"656","0"
"657",NA
"658","0"
"659","0"
"660","0"
"661","0"
"662","0"
"663","0"
"664","0"
"665","0"
"666","0"
"667","0"
"668",NA
"669","0"
"670",NA
"671","1"
"672","0"
"673","0"
"674","0"
"675",NA
"676","0"
"677","0"
"678","1"
"679","0"
"680","0"
"681",NA
"682","0"
"683","0"
"684","0"
"685","0"
"686","0"
"687","0"
"688","0"
"689","0"
"690","1"
"691","0"
"692","1"
"693",NA
"694","0"
"695","0"
"696","0"
"697","0"
"698",NA
"699","0"
"700","0"
"701","1"
"702","0"
"703","1"
"704","0"
"705","0"
"706","0"
"707","1"
"708","0"
"709","1"
"710",NA
"711","1"
"712",NA
"713","0"
"714","0"
"715","0"
"716","0"
"717","1"
"718","1"
"719",NA
"720","0"
"721","1"
"722","0"
"723","0"
"724","0"
"725","0"
"726","0"
"727","1"
"728",NA
"729","0"
"730","1"
"731","1"
"732","0"
"733",NA
"734","0"
"735","0"
"736","0"
"737","0"
"738","0"
"739",NA
"740",NA
"741",NA
"742","0"
"743","1"
"744","0"
"745","0"
"746","0"
"747","0"
"748","1"
"749","0"
"750","0"
"751","1"
"752","1"
"753","0"
"754","0"
"755","1"
"756","1"
"757","0"
"758","0"
"759","0"
"760","1"
"761",NA
"762","0"
"763","0"
"764","1"
"765","0"
"766","1"
"767",NA
"768","1"
"769",NA
"770","0"
"771","0"
"772","0"
"773","1"
"774",NA
"775","1"
"776","0"
"777",NA
"778","1"
"779",NA
"780","1"
"781","1"
"782","1"
"783","0"
"784",NA
"785","0"
"786","0"
"787","1"
"788","0"
"789","1"
"790","0"
"791",NA
"792","0"
"793",NA
"794",NA
"795","0"
"796","0"
"797","1"
"798","1"
"799","0"
"800","0"
"801","0"
"802","1"
"803","1"
"804","1"
"805","0"
"806","0"
"807","0"
"808","1"
"809","0"
"810","1"
"811","0"
"812","0"
"813","0"
"814","0"
"815","0"
"816",NA
"817","1"
"818","0"
"819","0"
"820","0"
"821","1"
"822","0"
"823","0"
"824","1"
"825","0"
"826",NA
"827",NA
"828","1"
"829",NA
"830","1"
"831","1"
"832","1"
"833",NA
"834","0"
"835","0"
"836","1"
"837","0"
"838",NA
"839","0"
"840",NA
"841","0"
"842","0"
"843","1"
"844","0"
"845","0"
"846","0"
"847",NA
"848","0"
"849","0"
"850",NA
"851","0"
"852","0"
"853","0"
"854","1"
"855","1"
"856","1"
"857","1"
"858","0"
"859","1"
"860",NA
"861","0"
"862","0"
"863","1"
"864",NA
"865","0"
"866","1"
"867","1"
"868","0"
"869",NA
"870","1"
"871","0"
"872","1"
"873","0"
"874","0"
"875","1"
"876","1"
"877","0"
"878","0"
"879",NA
"880","1"
"881","1"
"882","0"
"883","1"
"884","0"
"885","0"
"886","0"
"887","0"
"888","1"
"889",NA
"890","0"
"891","0"
"892","0"
"893","0"
"894","0"
"895","0"
"896","0"
"897","0"
"898","1"
"899","0"
"900","1"
"901","0"
"902",NA
"903","0"
"904","1"
"905","0"
"906","1"
"907","1"
"908","0"
"909","0"
"910","1"
"911","0"
"912","0"
"913","1"
"914",NA
"915","0"
"916","1"
"917","0"
"918","1"
"919","0"
"920","0"
"921",NA
"922","0"
"923","0"
"924","0"
"925",NA
"926","0"
"927","0"
"928",NA
"929","1"
"930","0"
"931",NA
"932","0"
"933",NA
"934","0"
"935","1"
"936","1"
"937","0"
"938","0"
"939",NA
"940","1"
"941","0"
"942","0"
"943","0"
"944","1"
"945","1"
"946",NA
"947","0"
"948","0"
"949","0"
"950",NA
"951","1"
"952","0"
"953","0"
"954","0"
"955","1"
"956","1"
"957",NA
"958","1"
"959","0"
"960","0"
"961","1"
"962","1"
"963","0"
"964","1"
"965","0"
"966","1"
"967","0"
"968",NA
"969","1"
"970","0"
"971","1"
"972","1"
"973","0"
"974","0"
"975",NA
"976",NA
"977",NA
"978","1"
"979","1"
"980",NA
"981","1"
"982","1"
"983",NA
"984","1"
"985",NA
"986","0"
"987","0"
"988","1"
"989","0"
"990","1"
"991","0"
"992","1"
"993","0"
"994",NA
"995","0"
"996","0"
"997","0"
"998","0"
"999",NA
"1000",NA
"1001","0"
"1002","0"
"1003",NA
"1004","1"
"1005","1"
"1006","1"
"1007","0"
"1008",NA
"1009","1"
"1010","0"
"1011","1"
"1012","1"
"1013",NA
"1014","1"
"1015","0"
"1016",NA
"1017","1"
"1018","0"
"1019",NA
"1020","0"
"1021","0"
"1022","0"
"1023","0"
"1024",NA
"1025",NA
"1026","0"
"1027","0"
"1028","0"
"1029","0"
"1030","1"
"1031","0"
"1032","0"
"1033","1"
"1034","0"
"1035","0"
"1036","0"
"1037","0"
"1038",NA
"1039","0"
"1040",NA
"1041","0"
"1042","1"
"1043",NA
"1044","0"
"1045","0"
"1046","0"
"1047","0"
"1048","1"
"1049","1"
"1050","0"
"1051","1"
"1052",NA
"1053","1"
"1054","1"
"1055",NA
"1056","0"
"1057","0"
"1058","0"
"1059","0"
"1060",NA
"1061","1"
"1062",NA
"1063","0"
"1064","0"
"1065",NA
"1066","0"
"1067","1"
"1068","1"
"1069","0"
"1070","1"
"1071","1"
"1072","0"
"1073","0"
"1074","1"
"1075",NA
"1076","1"
"1077","0"
"1078","1"
"1079","0"
"1080",NA
"1081","0"
"1082","0"
"1083",NA
"1084","0"
"1085","0"
"1086","1"
"1087","0"
"1088","1"
"1089","1"
"1090","0"
"1091",NA
"1092",NA
"1093","1"
"1094","0"
"1095","1"
"1096","0"
"1097",NA
"1098","1"
"1099","0"
"1100","1"
"1101","0"
"1102","0"
"1103",NA
"1104","0"
"1105","1"
"1106","0"
"1107","0"
"1108",NA
"1109","0"
"1110","1"
"1111",NA
"1112","1"
"1113","0"
"1114","1"
"1115","0"
"1116","1"
"1117",NA
"1118","0"
"1119",NA
"1120","0"
"1121","0"
"1122","0"
"1123","1"
"1124","0"
"1125",NA
"1126","0"
"1127","0"
"1128","0"
"1129","0"
"1130","1"
"1131","1"
"1132","1"
"1133","1"
"1134","0"
"1135",NA
"1136",NA
"1137","0"
"1138","1"
"1139","0"
"1140","1"
"1141",NA
"1142","1"
"1143","0"
"1144","0"
"1145","0"
"1146","0"
"1147",NA
"1148",NA
"1149","0"
"1150","1"
"1151","0"
"1152","0"
"1153","0"
"1154","1"
"1155","1"
"1156","0"
"1157",NA
"1158",NA
"1159",NA
"1160",NA
"1161","0"
"1162","0"
"1163",NA
"1164","1"
"1165",NA
"1166",NA
"1167","1"
"1168","0"
"1169","0"
"1170","0"
"1171","0"
"1172","1"
"1173","1"
"1174",NA
"1175","0"
"1176","1"
"1177","0"
"1178",NA
"1179","0"
"1180",NA
"1181",NA
"1182",NA
"1183","1"
"1184",NA
"1185","0"
"1186","0"
"1187","0"
"1188","1"
"1189",NA
"1190","0"
"1191","0"
"1192","0"
"1193",NA
"1194","0"
"1195","0"
"1196",NA
"1197","1"
"1198","0"
"1199","1"
"1200","0"
"1201","0"
"1202","0"
"1203","0"
"1204",NA
"1205","1"
"1206","1"
"1207","1"
"1208","0"
"1209","0"
"1210","0"
"1211","0"
"1212","0"
"1213","0"
"1214","0"
"1215","0"
"1216","1"
"1217","0"
"1218","1"
"1219","0"
"1220","0"
"1221","0"
"1222","1"
"1223","0"
"1224",NA
"1225","0"
"1226","0"
"1227","0"
"1228","0"
"1229","0"
"1230","0"
"1231",NA
"1232","0"
"1233","0"
"1234",NA
"1235","1"
"1236",NA
"1237","1"
"1238","0"
"1239","0"
"1240","0"
"1241","1"
"1242","1"
"1243","0"
"1244","0"
"1245","0"
"1246","1"
"1247","0"
"1248","1"
"1249",NA
"1250",NA
"1251","1"
"1252","0"
"1253","1"
"1254","1"
"1255","0"
"1256","1"
"1257",NA
"1258",NA
"1259","1"
"1260","1"
"1261","0"
"1262","0"
"1263","1"
"1264","0"
"1265","0"
"1266","1"
"1267","1"
"1268","1"
"1269","0"
"1270","0"
"1271","0"
"1272",NA
"1273","0"
"1274",NA
"1275","1"
"1276",NA
"1277","1"
"1278","0"
"1279","0"
"1280","0"
"1281","0"
"1282","0"
"1283","1"
"1284","0"
"1285","0"
"1286","0"
"1287","1"
"1288","0"
"1289","1"
"1290","0"
"1291","0"
"1292","1"
"1293","0"
"1294","1"
"1295","0"
"1296","0"
"1297","0"
"1298","0"
"1299","0"
"1300",NA
"1301","1"
"1302",NA
"1303","1"
"1304","1"
"1305",NA
"1306","1"
"1307","0"
"1308",NA
"1309",NA
